cell,delta_lower,delta_upper,endpoint_real_lower,distance_real_lower,argument_norm_upper
96,0.152984619140625,0.15457820892333984,0.05139795395331808,0.09584375924049912,0.11216876214461963
97,0.15457820892333984,0.1561717987060547,0.05073718179487812,0.09600268397047408,0.11366149566703561
98,0.1561717987060547,0.15776538848876953,0.05007116080900382,0.09616712014978525,0.11516117141887305
99,0.15776538848876953,0.15935897827148438,0.04939993376633607,0.09633759911189778,0.11666777110412307
100,0.15935897827148438,0.16095256805419922,0.04872354783059165,0.09651466487285597,0.11818127528802119
101,0.16095256805419922,0.16254615783691406,0.048042054643139584,0.09669887410559982,0.11970166338014726
102,0.16254615783691406,0.1641397476196289,0.047355510405789523,0.09689079610101686,0.12122891361751714
103,0.1641397476196289,0.16573333740234375,0.04666397596161587,0.09709101271525611,0.12276300304767013
104,0.16573333740234375,0.1673269271850586,0.04596751687363488,0.09730011830281773,0.12430390751176291
105,0.1673269271850586,0.16892051696777344,0.04526620350114755,0.09751871963493301,0.12585160162767314
106,0.16892051696777344,0.17051410675048828,0.044560111073555446,0.09774743580274668,0.1274060587731263
107,0.17051410675048828,0.17210769653320312,0.04384931976144741,0.0979868981047764,0.12896725106885013
108,0.17210769653320312,0.17370128631591797,0.04313391474476233,0.09823774991821728,0.13053514936176658
109,0.17370128631591797,0.1752948760986328,0.042413986277814966,0.09850064655355392,0.13210972320822975
110,0.1752948760986328,0.17688846588134766,0.04168962975097475,0.09877625509200856,0.13369094085731933
111,0.17688846588134766,0.1784820556640625,0.04096094574878377,0.0990652542053513,0.1352787692341976
112,0.1784820556640625,0.18007564544677734,0.040228040104291964,0.09936833395757838,0.13687317392354095
113,0.18007564544677734,0.1816692352294922,0.03949102394938583,0.09968619558798404,0.13847411915305352
114,0.1816692352294922,0.18326282501220703,0.03875001376088692,0.10001955127518188,0.14008156777707462
115,0.18326282501220703,0.18485641479492188,0.038005131402177816,0.10036912388153929,0.14169548126029116
116,0.18485641479492188,0.18645000457763672,0.037256504160137295,0.10073564667767414,0.14331581966156134
